brand,views,carts,purchases,view_to_cart_rate,cart_to_purchase_rate,view_to_purchase_rate
berkut,1813,120,80,0.06618863761720904,0.6666666666666666,0.0441257584114727
favourite,1273,76,56,0.05970149253731343,0.7368421052631579,0.04399057344854674
kada,1102,73,48,0.0662431941923775,0.6575342465753424,0.043557168784029036
pilot,92,6,4,0.06521739130434782,0.6666666666666666,0.043478260869565216
cigii,23,1,1,0.043478260869565216,1.0,0.043478260869565216
oklick,533,30,23,0.05628517823639775,0.7666666666666667,0.043151969981238276
intel,4643,356,200,0.07667456385957355,0.5617977528089888,0.04307559767391773
aqc,372,23,16,0.06182795698924731,0.6956521739130435,0.043010752688172046
yaxun,140,6,6,0.04285714285714286,1.0,0.04285714285714286
top,234,13,10,0.05555555555555555,0.7692307692307693,0.042735042735042736
ekf,141,4,6,0.028368794326241134,1.5,0.0425531914893617
moxom,380,27,16,0.07105263157894737,0.5925925925925926,0.042105263157894736
falcon,48,2,2,0.041666666666666664,1.0,0.041666666666666664
goip,24,2,1,0.08333333333333333,0.5,0.041666666666666664
optim,194,8,8,0.041237113402061855,1.0,0.041237113402061855
alpine,705,33,29,0.04680851063829787,0.8787878787878788,0.04113475177304964
digma,5453,332,224,0.06088391710984779,0.6746987951807228,0.0410783055198973
dialog,2547,124,104,0.04868472712995681,0.8387096774193549,0.040832351786415394
greenconnect,1746,92,71,0.052691867124856816,0.7717391304347826,0.04066437571592211
tenda,197,11,8,0.05583756345177665,0.7272727272727273,0.04060913705583756
id-cooling,371,33,15,0.0889487870619946,0.45454545454545453,0.04043126684636118
bosch,7531,363,304,0.04820077015004647,0.837465564738292,0.04036648519452928
thermaltake,2487,155,100,0.06232408524326498,0.6451612903225806,0.04020908725371934
gorenje,1722,140,69,0.08130081300813008,0.4928571428571429,0.04006968641114982
sven,1873,127,75,0.06780565936999466,0.5905511811023622,0.0400427122263748
creative,703,37,28,0.05263157894736842,0.7567567567567568,0.03982930298719772
redragon,478,38,19,0.0794979079497908,0.5,0.0397489539748954
transcend,2528,150,100,0.05933544303797468,0.6666666666666666,0.03955696202531646
blast,1758,82,69,0.04664391353811149,0.8414634146341463,0.03924914675767918
jisoncase,51,2,2,0.0392156862745098,1.0,0.0392156862745098
morel,664,33,26,0.04969879518072289,0.7878787878787878,0.0391566265060241
lomond,946,54,37,0.05708245243128964,0.6851851851851852,0.039112050739957716
camelion,592,29,23,0.048986486486486486,0.7931034482758621,0.03885135135135135
elp,520,29,20,0.05576923076923077,0.6896551724137931,0.038461538461538464
jbl,2250,111,86,0.04933333333333333,0.7747747747747747,0.03822222222222222
starwind,3344,209,126,0.0625,0.6028708133971292,0.037679425837320576
jvc,3102,152,116,0.049000644745325596,0.7631578947368421,0.037395228884590584
anytek,107,4,4,0.037383177570093455,1.0,0.037383177570093455
acv,5490,243,205,0.04426229508196721,0.8436213991769548,0.037340619307832425
uniq,27,1,1,0.037037037037037035,1.0,0.037037037037037035
cyberflux,190,8,7,0.042105263157894736,0.875,0.03684210526315789
ldnio,82,3,3,0.036585365853658534,1.0,0.036585365853658534
plantronics,385,22,14,0.05714285714285714,0.6363636363636364,0.03636363636363636
sunon,110,7,4,0.06363636363636363,0.5714285714285714,0.03636363636363636
